Invoice_No.,InvoiceDate,DueDate,Description,Unit_price,Quantity,Tax ,Total,Date,Time,Payment,Mobile_no
869802822,9/1/2012,10/1/2012,Health and beauty,69.37,9,31.2165,655.5465,1/26/2019,19:14,Ewallet,61979846412
870792057,3/19/2012,4/18/2012,Electronic accessories,37.06,4,7.412,155.652,1/31/2019,16:24,Ewallet,61976468627
872319562,9/18/2013,10/18/2013,Electronic accessories,90.7,6,27.21,571.41,2/26/2019,10:52,Cash,61967181344
873433318,5/5/2012,6/4/2012,Home and lifestyle,63.42,8,25.368,532.728,3/11/2019,12:55,Ewallet,61985884137
874115043,5/8/2012,6/7/2012,Fashion accessories,81.37,2,8.137,170.877,1/26/2019,19:28,Cash,61984836496
874394980,3/14/2013,4/13/2013,Electronic accessories,10.59,3,1.5885,33.3585,3/12/2019,13:52,Credit card,61988788451
876573329,3/27/2013,4/26/2013,Health and beauty,84.09,9,37.8405,794.6505,2/11/2019,10:54,Cash,61991060846
881665013,12/25/2012,1/24/2013,Fashion accessories,73.82,4,14.764,310.044,2/21/2019,18:31,Cash,61983404458
882058462,2/8/2012,3/9/2012,Health and beauty,51.94,10,25.97,545.37,3/9/2019,18:24,Ewallet,61982761018
883694015,9/14/2013,10/14/2013,Sports and travel,93.14,2,9.314,195.594,1/20/2019,18:09,Ewallet,61981889641
884183285,9/27/2013,10/27/2013,Health and beauty,17.41,5,4.3525,91.4025,1/28/2019,15:16,Credit card,61996532111
886237244,6/30/2012,7/30/2012,Fashion accessories,44.22,5,11.055,232.155,3/5/2019,17:07,Credit card,61995276612
889501782,4/30/2012,5/30/2012,Electronic accessories,13.22,5,3.305,69.405,3/2/2019,19:26,Cash,61982708338
893037091,2/9/2012,3/10/2012,Fashion accessories,89.69,1,4.4845,94.1745,1/11/2019,11:20,Ewallet,61999767589
893342729,10/23/2012,11/22/2012,Food and beverages,24.94,9,11.223,235.683,1/11/2019,16:49,Credit card,61991926743
893954880,5/22/2013,6/21/2013,Health and beauty,59.77,2,5.977,125.517,3/11/2019,12:01,Credit card,61999015884
902573987,3/1/2013,3/31/2013,Fashion accessories,93.2,2,9.32,195.72,2/28/2019,18:37,Credit card,61994583255
903308758,4/23/2012,5/23/2012,Home and lifestyle,62.65,4,12.53,263.13,1/5/2019,11:25,Cash,61973365325
905360282,1/24/2013,2/23/2013,Home and lifestyle,93.87,8,37.548,788.508,2/2/2019,18:42,Credit card,61991637633
907309591,5/29/2012,6/28/2012,Home and lifestyle,47.59,8,19.036,399.756,1/1/2019,14:47,Cash,61986330741
910054452,4/13/2012,5/13/2012,Electronic accessories,81.4,3,12.21,256.41,2/9/2019,19:43,Cash,61994668421
910348225,8/18/2012,9/17/2012,Fashion accessories,17.94,5,4.485,94.185,1/23/2019,14:04,Ewallet,61980463238
910856055,8/21/2013,9/20/2013,Electronic accessories,77.72,4,15.544,326.424,1/7/2019,16:11,Credit card,61987415462
915133709,11/11/2012,12/11/2012,Food and beverages,73.06,7,25.571,536.991,1/14/2019,19:06,Credit card,61996772211
915652542,1/5/2012,2/4/2012,Food and beverages,46.55,9,20.9475,439.8975,2/2/2019,15:34,Ewallet,61971235171
921537795,12/30/2012,1/29/2013,Fashion accessories,35.19,10,17.595,369.495,3/17/2019,19:06,Credit card,61984284775
929902016,5/18/2013,6/17/2013,Sports and travel,14.39,2,1.439,30.219,3/2/2019,19:44,Credit card,61972506258
934328892,7/5/2012,8/4/2012,Home and lifestyle,23.75,4,4.75,99.75,3/16/2019,11:22,Cash,61992491678
936925570,12/10/2012,1/9/2013,Home and lifestyle,58.9,8,23.56,494.76,1/6/2019,11:23,Cash,61969577541
938015647,4/22/2013,5/22/2013,Fashion accessories,32.62,4,6.524,137.004,1/29/2019,14:12,Cash,27969457186
939622166,9/10/2012,10/10/2012,Electronic accessories,66.35,1,3.3175,69.6675,1/31/2019,10:46,Credit card,27999999999
940363147,11/2/2012,12/2/2012,Home and lifestyle,25.91,6,7.773,163.233,2/5/2019,10:16,Ewallet,27966666666
951035745,6/5/2013,7/5/2013,Electronic accessories,32.25,4,6.45,135.45,2/13/2019,12:38,Ewallet,27983448551
956388773,6/17/2012,7/17/2012,Electronic accessories,65.94,4,13.188,276.948,2/7/2019,13:05,Credit card,27992253561
959092964,1/15/2013,2/14/2013,Electronic accessories,75.06,9,33.777,709.317,3/19/2019,13:25,Ewallet,27973717236
975332365,7/17/2013,8/16/2013,Fashion accessories,16.45,4,3.29,69.09,3/7/2019,14:53,Ewallet,27994963130
979439975,11/24/2012,12/24/2012,Fashion accessories,38.3,4,7.66,160.86,3/13/2019,19:22,Cash,27983982932
981596189,6/7/2012,7/7/2012,Sports and travel,22.24,10,11.12,233.52,2/9/2019,11:00,Cash,27989661207
986187012,1/27/2012,2/26/2012,Sports and travel,54.45,1,2.7225,57.1725,2/26/2019,19:24,Ewallet,27976396811
990527729,11/4/2012,12/4/2012,Sports and travel,98.4,7,34.44,723.24,3/12/2019,12:43,Credit card,27989377016
1006151066,11/24/2012,12/24/2012,Home and lifestyle,35.47,4,7.094,148.974,3/14/2019,17:22,Credit card,27999640331
1006769217,9/14/2012,10/14/2012,Food and beverages,74.6,10,37.3,783.3,1/8/2019,20:55,Cash,27999728565
1012251297,2/21/2012,3/22/2012,Home and lifestyle,70.74,4,14.148,297.108,1/5/2019,16:05,Credit card,27994550871
1014106295,6/14/2012,7/14/2012,Home and lifestyle,35.54,10,17.77,373.17,1/4/2019,13:34,Ewallet,27994002011
1020758229,6/6/2013,7/6/2013,Sports and travel,67.43,5,16.8575,354.0075,3/6/2019,18:13,Ewallet,27968562147
1026638537,7/27/2013,8/26/2013,Health and beauty,21.12,2,2.112,44.352,1/3/2019,19:17,Cash,27986657298
1027852268,9/16/2013,10/16/2013,Home and lifestyle,21.54,9,9.693,203.553,1/7/2019,11:44,Credit card,27997351144
1035721042,11/11/2012,12/11/2012,Home and lifestyle,12.03,2,1.203,25.263,1/27/2019,15:51,Cash,27983342244
1043332774,7/7/2012,8/6/2012,Health and beauty,99.71,6,29.913,628.173,2/26/2019,16:52,Ewallet,27969457186
1047899565,4/14/2013,5/14/2013,Fashion accessories,47.97,7,16.7895,352.5795,1/7/2019,20:52,Cash,27992253561
1048700348,4/12/2013,5/12/2013,Home and lifestyle,21.82,10,10.91,229.11,1/7/2019,17:36,Cash,27986375103
1054254710,11/21/2013,12/21/2013,Fashion accessories,95.42,4,19.084,400.764,2/2/2019,13:23,Ewallet,27995366178
1056254354,11/6/2013,12/6/2013,Fashion accessories,70.99,10,35.495,745.395,3/20/2019,16:28,Cash,27988587548
1057997164,2/17/2012,3/18/2012,Sports and travel,44.02,10,22.01,462.21,3/20/2019,19:57,Credit card,27973827166
1061077534,10/3/2013,11/2/2013,Home and lifestyle,69.96,8,27.984,587.664,2/15/2019,17:01,Credit card,27996350528
1064822506,2/10/2013,3/12/2013,Home and lifestyle,37,1,1.85,38.85,3/6/2019,13:29,Credit card,27979783848
1066047916,8/15/2012,9/14/2012,Sports and travel,15.34,1,0.767,16.107,1/6/2019,11:09,Cash,27971669376
1069788528,10/19/2012,11/18/2012,Health and beauty,99.83,6,29.949,628.929,3/4/2019,15:02,Ewallet,27979512870
1070459520,3/14/2012,4/13/2012,Health and beauty,47.67,4,9.534,200.214,3/12/2019,14:21,Cash,27984972485
1072551347,8/30/2012,9/29/2012,Health and beauty,66.68,5,16.67,350.07,2/20/2019,18:01,Cash,27992514117
1078203507,2/3/2013,3/5/2013,Home and lifestyle,74.86,1,3.743,78.603,3/24/2019,14:49,Cash,27983746685
1087780845,4/8/2013,5/8/2013,Sports and travel,23.75,9,10.6875,224.4375,1/31/2019,12:02,Cash,27993527241
1089324685,3/29/2013,4/28/2013,Food and beverages,48.51,7,16.9785,356.5485,1/25/2019,13:30,Credit card,27995714621
1099187495,5/20/2013,6/19/2013,Home and lifestyle,94.88,7,33.208,697.368,2/3/2019,14:38,Cash,27976048843
1102283094,5/21/2012,6/20/2012,Electronic accessories,40.3,10,20.15,423.15,1/24/2019,17:37,Credit card,62980678805
1102427426,9/2/2012,10/2/2012,Electronic accessories,27.85,7,9.7475,204.6975,3/14/2019,17:20,Ewallet,62984154501
1120525583,9/10/2013,10/10/2013,Electronic accessories,62.48,1,3.124,65.604,2/18/2019,20:29,Cash,62996124751
1123460834,11/4/2012,12/4/2012,Food and beverages,36.36,2,3.636,76.356,1/21/2019,10:00,Cash,62980443884
1124489539,12/7/2012,1/6/2013,Health and beauty,18.11,10,9.055,190.155,3/13/2019,11:46,Ewallet,62976642708
1125640611,4/24/2013,5/24/2013,Electronic accessories,51.92,5,12.98,272.58,3/3/2019,13:42,Cash,62982108210
1130346124,5/3/2012,6/2/2012,Electronic accessories,28.84,4,5.768,121.128,3/29/2019,14:44,Cash,62994615871
1133671020,6/30/2013,7/30/2013,Home and lifestyle,78.38,6,23.514,493.794,1/10/2019,14:16,Ewallet,62984235532
1134404593,6/25/2012,7/25/2012,Home and lifestyle,60.01,4,12.002,252.042,1/25/2019,15:54,Cash,62985190574
1138691181,5/27/2013,6/26/2013,Home and lifestyle,88.61,1,4.4305,93.0405,1/19/2019,10:21,Cash,62979131130
1148330280,1/27/2012,2/26/2012,Fashion accessories,99.82,2,9.982,209.622,1/2/2019,18:09,Credit card,62981685480
1157522817,12/4/2012,1/3/2013,Health and beauty,39.01,1,1.9505,40.9605,3/12/2019,16:46,Credit card,62992500816
1158168123,6/15/2012,7/15/2012,Food and beverages,48.61,1,2.4305,51.0405,2/25/2019,15:31,Cash,62994576927
1166745208,11/27/2013,12/27/2013,Electronic accessories,51.19,4,10.238,214.998,3/18/2019,17:15,Credit card,62988576667
1175501399,5/7/2012,6/6/2012,Electronic accessories,14.96,8,5.984,125.664,2/23/2019,12:29,Cash,62980716125
1181151524,8/22/2012,9/21/2012,Electronic accessories,72.2,7,25.27,530.67,3/26/2019,20:14,Ewallet,62994726927
1184394683,9/15/2012,10/15/2012,Sports and travel,40.23,7,14.0805,295.6905,3/30/2019,13:22,Cash,62985094730
1185375111,9/28/2013,10/28/2013,Home and lifestyle,88.79,8,35.516,745.836,2/17/2019,17:09,Cash,62999957420
1187373900,4/6/2012,5/6/2012,Electronic accessories,26.48,3,3.972,83.412,3/21/2019,10:40,Ewallet,62984623033
1190360256,8/7/2012,9/6/2012,Fashion accessories,81.91,2,8.191,172.011,3/5/2019,17:43,Cash,62981878443
1199977661,8/6/2012,9/5/2012,Sports and travel,79.93,6,23.979,503.559,1/31/2019,14:04,Cash,62979873205
1204820381,8/8/2012,9/7/2012,Fashion accessories,69.33,2,6.933,145.593,2/5/2019,19:05,Ewallet,62971174252
1207140333,1/26/2013,2/25/2013,Food and beverages,14.23,5,3.5575,74.7075,2/1/2019,10:08,Credit card,62967835304
1212195050,11/5/2012,12/5/2012,Health and beauty,15.55,9,6.9975,146.9475,3/7/2019,13:12,Cash,62982298028
1221306589,7/3/2012,8/2/2012,Electronic accessories,78.13,10,39.065,820.365,2/10/2019,20:51,Cash,62976035553
1223908099,5/27/2012,6/26/2012,Food and beverages,99.37,2,9.937,208.677,2/14/2019,17:29,Cash,62982452726
1228800351,1/14/2012,2/13/2012,Food and beverages,21.08,3,3.162,66.402,2/9/2019,10:25,Cash,62986913605
1234438336,3/6/2012,4/5/2012,Electronic accessories,74.79,5,18.6975,392.6475,1/10/2019,11:34,Cash,62967683766
1241888754,5/1/2013,5/31/2013,Health and beauty,29.67,7,10.3845,218.0745,3/11/2019,18:58,Credit card,62985041877
1250631704,3/31/2013,4/30/2013,Health and beauty,44.07,4,8.814,185.094,2/18/2019,16:28,Ewallet,62997454143
1254790458,11/12/2012,12/12/2012,Food and beverages,22.93,9,10.3185,216.6885,2/26/2019,20:26,Cash,62971563749
1256452795,5/17/2012,6/16/2012,Health and beauty,39.42,1,1.971,41.391,1/18/2019,15:08,Cash,62988770880
1264381785,4/29/2013,5/29/2013,Health and beauty,15.26,6,4.578,96.138,2/15/2019,18:03,Ewallet,62982862273
1266309366,10/26/2012,11/25/2012,Fashion accessories,61.77,5,15.4425,324.2925,3/8/2019,13:21,Cash,62985623170
1267973660,10/10/2012,11/9/2012,Home and lifestyle,21.52,6,6.456,135.576,1/17/2019,12:48,Credit card,62994656748
1280597932,2/26/2012,3/27/2012,Sports and travel,97.74,4,19.548,410.508,3/12/2019,19:53,Ewallet,62983657972
1281236095,6/21/2013,7/21/2013,Food and beverages,99.78,5,24.945,523.845,3/9/2019,19:09,Cash,62969047324
1281718631,7/12/2013,8/11/2013,Food and beverages,94.26,4,18.852,395.892,3/12/2019,16:30,Cash,62994908124
1282903123,12/25/2012,1/24/2013,Health and beauty,51.13,4,10.226,214.746,1/25/2019,10:11,Credit card,62979515622
1294595544,2/18/2012,3/19/2012,Electronic accessories,36.36,4,7.272,152.712,3/25/2019,13:07,Cash,62987292335
1297791719,1/15/2012,2/14/2012,Home and lifestyle,22.02,9,9.909,208.089,2/7/2019,18:48,Cash,62971015637
1300298448,9/16/2012,10/16/2012,Food and beverages,32.9,3,4.935,103.635,2/17/2019,17:27,Credit card,62987836507
1308410672,9/13/2013,10/13/2013,Fashion accessories,77.02,5,19.255,404.355,2/3/2019,15:59,Cash,62985585862
1310667812,3/18/2012,4/17/2012,Food and beverages,23.48,2,2.348,49.308,3/14/2019,11:21,Credit card,62993781152
1311607288,10/13/2012,11/12/2012,Sports and travel,14.7,5,3.675,77.175,3/24/2019,13:48,Ewallet,98992431585
1314367195,6/21/2012,7/21/2012,Electronic accessories,28.45,5,7.1125,149.3625,3/21/2019,10:17,Credit card,98975676125
1316332735,10/21/2012,11/20/2012,Fashion accessories,76.4,9,34.38,721.98,3/19/2019,15:49,Ewallet,98974793197
1317885189,10/30/2013,11/29/2013,Sports and travel,57.95,6,17.385,365.085,2/24/2019,13:02,Cash,98992881840
1318038002,9/3/2012,10/3/2012,Electronic accessories,47.65,3,7.1475,150.0975,3/28/2019,12:58,Credit card,98968732911
1319645642,11/26/2013,12/26/2013,Food and beverages,42.82,9,19.269,404.649,2/5/2019,15:26,Credit card,98968421764
1321318878,2/20/2013,3/22/2013,Electronic accessories,48.09,3,7.2135,151.4835,2/10/2019,18:23,Credit card,98976828464
1321403149,2/1/2012,3/2/2012,Health and beauty,55.97,7,19.5895,411.3795,3/5/2019,19:06,Ewallet,98968015517
1323201810,7/27/2013,8/26/2013,Health and beauty,76.9,7,26.915,565.215,2/15/2019,20:21,Cash,98994664338
1327547312,2/2/2013,3/4/2013,Food and beverages,97.03,5,24.2575,509.4075,1/30/2019,16:24,Ewallet,98994643851
1336288577,10/19/2012,11/18/2012,Sports and travel,44.65,3,6.6975,140.6475,2/14/2019,15:04,Cash,98973790513
1342171511,4/23/2013,5/23/2013,Fashion accessories,77.93,9,35.0685,736.4385,2/27/2019,16:10,Ewallet,98968857116
1342472678,9/4/2012,10/4/2012,Electronic accessories,71.95,1,3.5975,75.5475,2/4/2019,12:14,Cash,98994716239
1349854883,11/6/2013,12/6/2013,Home and lifestyle,89.25,8,35.7,749.7,1/20/2019,10:13,Cash,98974493811
1358969544,10/29/2012,11/28/2012,Electronic accessories,26.02,7,9.107,191.247,3/28/2019,17:38,Cash,98968163172
1366357246,9/12/2012,10/12/2012,Health and beauty,13.5,10,6.75,141.75,2/27/2019,11:06,Credit card,98968485661
1369975903,1/5/2013,2/4/2013,Fashion accessories,99.3,10,49.65,1042.65,2/15/2019,14:53,Credit card,98993556422
1376441638,9/30/2012,10/30/2012,Electronic accessories,51.69,7,18.0915,379.9215,1/26/2019,18:22,Cash,98992430372
1380765648,9/1/2012,10/1/2012,Fashion accessories,54.73,7,19.1555,402.2655,3/14/2019,19:02,Credit card,98976561690
1384963125,11/14/2013,12/14/2013,Home and lifestyle,27,9,12.15,255.15,3/2/2019,14:16,Cash,98976704993
1387296868,6/29/2013,7/29/2013,Electronic accessories,30.24,1,1.512,31.752,3/4/2019,15:44,Cash,98992227736
1388703117,10/19/2013,11/18/2013,Food and beverages,89.14,4,17.828,374.388,1/7/2019,12:20,Credit card,98975121755
1388916055,10/22/2013,11/21/2013,Fashion accessories,37.55,10,18.775,394.275,3/8/2019,20:01,Credit card,98991876273
1390614217,12/25/2012,1/24/2013,Sports and travel,95.44,10,47.72,1002.12,1/9/2019,13:45,Cash,98973336684
1391494244,6/16/2013,7/16/2013,Electronic accessories,27.5,3,4.125,86.625,3/1/2019,15:40,Ewallet,98975828388
1393928750,11/11/2013,12/11/2013,Sports and travel,74.97,1,3.7485,78.7185,3/16/2019,16:58,Cash,98974783731
1401167342,10/24/2012,11/23/2012,Food and beverages,80.96,8,32.384,680.064,2/17/2019,11:12,Credit card,98968644177
1401765899,3/21/2012,4/20/2012,Food and beverages,94.47,8,37.788,793.548,2/27/2019,15:12,Cash,98973792128
1402103956,11/28/2012,12/28/2012,Food and beverages,99.79,2,9.979,209.559,3/7/2019,20:37,Ewallet,98994466963
1416192974,7/30/2012,8/29/2012,Home and lifestyle,73.22,6,21.966,461.286,1/21/2019,17:44,Cash,98993856475
1419983453,10/18/2012,11/17/2012,Food and beverages,41.24,4,8.248,173.208,2/19/2019,16:23,Cash,98991765245
1422140909,12/8/2012,1/7/2013,Fashion accessories,81.68,4,16.336,343.056,1/6/2019,12:12,Cash,98975583811
1426850927,11/13/2013,12/13/2013,Electronic accessories,51.32,9,23.094,484.974,3/14/2019,19:33,Cash,98976326473
1436243551,6/19/2012,7/19/2012,Home and lifestyle,65.94,4,13.188,276.948,3/24/2019,10:29,Cash,98976432238
1436424010,11/24/2013,12/24/2013,Sports and travel,14.36,10,7.18,150.78,1/27/2019,14:28,Cash,98974313131
1441773397,10/23/2012,11/22/2012,Electronic accessories,21.5,9,9.675,203.175,3/6/2019,12:46,Credit card,98991784323
1452931813,7/28/2013,8/27/2013,Electronic accessories,26.26,7,9.191,193.011,2/2/2019,19:40,Cash,98974648664
1454620628,3/15/2012,4/14/2012,Fashion accessories,60.96,2,6.096,128.016,1/25/2019,19:39,Credit card,31987556872
1459820060,8/4/2012,9/3/2012,Home and lifestyle,70.11,6,21.033,441.693,3/14/2019,17:54,Ewallet,31975828855
1463367901,4/14/2013,5/14/2013,Fashion accessories,42.08,6,12.624,265.104,1/29/2019,12:25,Cash,31999834345
1470244634,9/18/2012,10/18/2012,Home and lifestyle,67.09,5,16.7725,352.2225,1/3/2019,16:47,Credit card,31985381683
1474447710,11/7/2013,12/7/2013,Fashion accessories,96.7,5,24.175,507.675,1/14/2019,12:52,Ewallet,31968598252
1482642317,3/14/2013,4/13/2013,Home and lifestyle,35.38,9,15.921,334.341,1/5/2019,19:50,Credit card,31968134593
1491017498,5/9/2012,6/8/2012,Sports and travel,95.49,7,33.4215,701.8515,2/22/2019,18:17,Ewallet,31985055000
1491859500,5/28/2013,6/27/2013,Fashion accessories,96.98,4,19.396,407.316,2/6/2019,17:20,Ewallet,31993634940
1509944878,2/16/2013,3/18/2013,Electronic accessories,23.65,4,4.73,99.33,1/30/2019,13:32,Credit card,31971466636
1519561145,9/26/2012,10/26/2012,Sports and travel,82.33,4,16.466,345.786,1/11/2019,10:37,Credit card,31982397359
1528493654,10/29/2012,11/28/2012,Electronic accessories,26.61,2,2.661,55.881,3/19/2019,14:35,Cash,31989545152
1528599184,6/30/2013,7/30/2013,Food and beverages,99.69,5,24.9225,523.3725,1/14/2019,12:09,Cash,31999638039
1529029372,3/12/2013,4/11/2013,Food and beverages,74.89,4,14.978,314.538,3/1/2019,15:32,Ewallet,31969481823
1536168471,12/19/2012,1/18/2013,Food and beverages,40.94,5,10.235,214.935,1/6/2019,13:58,Ewallet,31968897825
1539382510,10/9/2012,11/8/2012,Sports and travel,75.82,1,3.791,79.611,1/31/2019,13:19,Cash,31992546789
1539465403,2/16/2012,3/17/2012,Food and beverages,46.77,6,14.031,294.651,3/11/2019,13:37,Cash,31987607446
1544728256,12/27/2012,1/26/2013,Health and beauty,32.32,10,16.16,339.36,2/20/2019,16:49,Credit card,31991481426
1544966050,4/13/2013,5/13/2013,Fashion accessories,54.07,9,24.3315,510.9615,1/27/2019,14:55,Ewallet,31973103740
1553284771,11/4/2013,12/4/2013,Food and beverages,18.22,7,6.377,133.917,3/10/2019,14:04,Credit card,31983592864
1556974311,2/20/2013,3/22/2013,Fashion accessories,80.48,3,12.072,253.512,2/15/2019,12:31,Cash,31981549735
1562504690,3/4/2012,4/3/2012,Fashion accessories,37.95,10,18.975,398.475,1/26/2019,14:51,Cash,31984638251
1564854223,8/13/2012,9/12/2012,Electronic accessories,76.82,1,3.841,80.661,2/13/2019,18:27,Ewallet,31996368715
1569984119,12/4/2012,1/3/2013,Sports and travel,52.26,10,26.13,548.73,3/9/2019,12:45,Credit card,31983554043
1575926929,11/19/2012,12/19/2012,Health and beauty,79.74,1,3.987,83.727,3/6/2019,10:36,Ewallet,31986454312
1577746988,7/27/2012,8/26/2012,Health and beauty,77.5,5,19.375,406.875,1/24/2019,20:36,Ewallet,31967418818
1581104767,1/1/2013,1/31/2013,Food and beverages,54.27,5,13.5675,284.9175,3/13/2019,14:16,Ewallet,31982149916
1582683121,4/19/2012,5/19/2012,Home and lifestyle,13.59,9,6.1155,128.4255,3/15/2019,10:26,Cash,31997459585
1586922908,10/2/2013,11/1/2013,Health and beauty,41.06,6,12.318,258.678,3/5/2019,13:30,Credit card,31995352237
1587873226,7/23/2013,8/22/2013,Electronic accessories,19.24,9,8.658,181.818,3/4/2019,16:28,Cash,31981237228
1591349086,7/13/2013,8/12/2013,Food and beverages,39.43,6,11.829,248.409,3/25/2019,20:18,Credit card,31998485416
1592682714,9/10/2013,10/10/2013,Home and lifestyle,46.22,4,9.244,194.124,3/12/2019,20:04,Credit card,31972571135
1595456378,7/27/2012,8/26/2012,Home and lifestyle,13.98,1,0.699,14.679,2/4/2019,13:38,Ewallet,31980538224
1604888971,5/17/2013,6/16/2013,Fashion accessories,39.75,5,9.9375,208.6875,2/22/2019,10:43,Ewallet,31986051846
1613828298,8/12/2012,9/11/2012,Fashion accessories,97.79,7,34.2265,718.7565,2/16/2019,17:30,Ewallet,31979477322
1621429066,10/26/2012,11/25/2012,Sports and travel,67.26,4,13.452,282.492,1/19/2019,15:28,Credit card,31980887578
1621957925,4/15/2013,5/15/2013,Food and beverages,13.79,5,3.4475,72.3975,1/11/2019,19:07,Credit card,31980199311
1631213514,10/24/2012,11/23/2012,Fashion accessories,68.71,4,13.742,288.582,1/4/2019,19:01,Cash,67982945321
1633220775,1/9/2012,2/8/2012,Home and lifestyle,56.53,4,11.306,237.426,3/4/2019,19:48,Ewallet,67979242737
1652571996,10/14/2013,11/13/2013,Fashion accessories,23.82,5,5.955,125.055,1/28/2019,19:24,Ewallet,67989844942
1653597509,7/16/2012,8/15/2012,Health and beauty,34.21,10,17.105,359.205,1/2/2019,13:00,Cash,67969666358
1653708883,11/26/2013,12/26/2013,Sports and travel,21.87,2,2.187,45.927,1/25/2019,14:29,Ewallet,67995204590
1657046645,1/29/2012,2/28/2012,Health and beauty,20.97,5,5.2425,110.0925,1/4/2019,13:21,Cash,67982357170
1660153943,2/21/2012,3/22/2012,Sports and travel,25.84,3,3.876,81.396,3/10/2019,18:55,Ewallet,67992517254
1661281311,3/13/2012,4/12/2012,Home and lifestyle,50.93,8,20.372,427.812,3/22/2019,19:36,Ewallet,67982858285
1666441527,12/15/2012,1/14/2013,Health and beauty,96.11,1,4.8055,100.9155,1/25/2019,16:28,Ewallet,67987873134
1669605495,3/20/2012,4/19/2012,Home and lifestyle,45.38,4,9.076,190.596,1/8/2019,13:48,Credit card,67971937412
1670705301,1/17/2013,2/16/2013,Health and beauty,81.51,1,4.0755,85.5855,1/22/2019,10:57,Ewallet,67987846265
1671914105,7/10/2013,8/9/2013,Health and beauty,57.22,2,5.722,120.162,1/12/2019,17:13,Ewallet,67988426726
1671932723,5/20/2013,6/19/2013,Electronic accessories,25.22,7,8.827,185.367,2/4/2019,10:23,Cash,67983546546
1675817832,5/12/2012,6/11/2012,Food and beverages,38.6,3,5.79,121.59,3/28/2019,13:57,Ewallet,67971540971
1677488544,7/30/2012,8/29/2012,Electronic accessories,84.05,3,12.6075,264.7575,1/23/2019,13:29,Cash,67982463836
1678077270,4/24/2012,5/24/2012,Fashion accessories,97.21,10,48.605,1020.705,2/8/2019,13:00,Credit card,67967356976
1681500044,6/10/2013,7/10/2013,Fashion accessories,25.42,8,10.168,213.528,3/19/2019,19:42,Credit card,67968732516
1688223461,5/24/2013,6/23/2013,Fashion accessories,16.28,1,0.814,17.094,3/9/2019,15:36,Cash,67981790218
1691604826,11/20/2013,12/20/2013,Fashion accessories,40.61,9,18.2745,383.7645,1/2/2019,13:40,Cash,67984675838
1695583002,1/1/2013,1/31/2013,Health and beauty,53.17,7,18.6095,390.7995,1/21/2019,18:01,Cash,67989950480
1697562316,1/6/2013,2/5/2013,Food and beverages,20.87,3,3.1305,65.7405,3/20/2019,13:53,Credit card,67989514710
1699566488,2/13/2013,3/15/2013,Sports and travel,67.27,5,16.8175,353.1675,2/27/2019,17:27,Cash,67991839236
1699863695,7/23/2012,8/22/2012,Home and lifestyle,90.65,10,45.325,951.825,3/8/2019,10:53,Ewallet,67994020638
1702975198,11/30/2012,12/30/2012,Fashion accessories,69.08,2,6.908,145.068,1/31/2019,19:48,Credit card,67989130071
1714365400,4/21/2013,5/21/2013,Food and beverages,43.27,2,4.327,90.867,3/8/2019,16:53,Ewallet,67980416456
1715841585,7/1/2012,7/31/2012,Electronic accessories,23.46,6,7.038,147.798,1/13/2019,19:14,Ewallet,67982753362
1717812362,11/28/2012,12/28/2012,Fashion accessories,95.54,7,33.439,702.219,3/9/2019,14:36,Credit card,67981256243
1720149611,4/24/2012,5/24/2012,Fashion accessories,47.44,1,2.372,49.812,2/22/2019,18:19,Credit card,67973876797
1720532549,6/20/2013,7/20/2013,Sports and travel,99.24,9,44.658,937.818,3/19/2019,19:09,Ewallet,67998672643
1730560128,9/16/2013,10/16/2013,Sports and travel,82.93,4,16.586,348.306,1/20/2019,16:51,Ewallet,67995342324
1731769135,6/11/2013,7/11/2013,Home and lifestyle,33.99,6,10.197,214.137,3/8/2019,15:37,Credit card,67980847398
1732794760,10/22/2012,11/21/2012,Food and beverages,17.04,4,3.408,71.568,3/8/2019,20:15,Ewallet,67976155401
1745880588,8/1/2012,8/31/2012,Electronic accessories,40.86,8,16.344,343.224,2/7/2019,14:38,Credit card,66972250315
1748015447,12/24/2012,1/23/2013,Food and beverages,17.44,5,4.36,91.56,1/15/2019,19:25,Cash,65987785745
1752036971,4/8/2012,5/8/2012,Sports and travel,88.43,8,35.372,742.812,3/22/2019,19:35,Credit card,65969091811
1752423656,9/20/2013,10/20/2013,Home and lifestyle,89.21,9,40.1445,843.0345,1/15/2019,15:42,Credit card,65975714486
1754229382,5/15/2012,6/14/2012,Fashion accessories,12.78,1,0.639,13.419,1/8/2019,14:11,Ewallet,65973784888
1754538629,9/11/2013,10/11/2013,Sports and travel,19.1,7,6.685,140.385,1/15/2019,10:43,Cash,65999663495
1756742390,9/5/2012,10/5/2012,Health and beauty,19.15,1,0.9575,20.1075,1/28/2019,17:58,Credit card,65982463560
1759240329,9/19/2013,10/19/2013,Food and beverages,27.66,10,13.83,290.43,2/14/2019,11:26,Credit card,65997833098
1761962468,9/18/2013,10/18/2013,Fashion accessories,45.74,3,6.861,144.081,3/10/2019,17:38,Credit card,65982838524
1767317198,9/23/2012,10/23/2012,Health and beauty,27.07,1,1.3535,28.4235,1/12/2019,20:07,Credit card,65972755673
1767708917,7/21/2013,8/20/2013,Sports and travel,39.12,1,1.956,41.076,3/26/2019,11:02,Credit card,65992664966
1774766742,8/22/2013,9/21/2013,Electronic accessories,74.71,6,22.413,470.673,1/1/2019,19:07,Cash,65971634770
